Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
15.05.2024,Wed,00:00,03:39,03:39,잠,잠,잠,,,,
15.05.2024,Wed,03:39,03:41,00:02,"두통 약 찾기, 먹기",생활,약,,,,
15.05.2024,Wed,03:41,03:43,00:02,화장실,생활,화장실,,,,
15.05.2024,Wed,03:43,03:44,00:01,귀지 제거,,,,,,
15.05.2024,Wed,03:44,05:33,01:49,게임 리그 오브 레전드 플레이,여가,게임,,,,
15.05.2024,Wed,05:33,05:56,00:23,유튜브 랄로 시청 등,,,,,,
15.05.2024,Wed,05:56,10:25,04:29,잠,잠,잠,,,,
15.05.2024,Wed,10:25,17:24,06:59,게임 리그 오브 레전드 플레이,여가,게임,,,,
15.05.2024,Wed,17:24,17:26,00:02,화장실,생활,화장실,,,,
15.05.2024,Wed,17:26,17:27,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
15.05.2024,Wed,17:27,17:30,00:03,"요구르트 준비, 먹기, 처리 등",,,,,,
15.05.2024,Wed,17:30,17:43,00:13,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
15.05.2024,Wed,17:43,17:53,00:10,간식,식사,간식,,,,
15.05.2024,Wed,17:53,20:40,02:47,Msi 시청 등,,,,,,
15.05.2024,Wed,20:40,20:45,00:05,"손톱, 발톱, 굳은살 깎기",생활,"손톱, 발톱 깎기",,,,
15.05.2024,Wed,20:45,21:20,00:35,Msi 시청 등,,,,,,
15.05.2024,Wed,21:20,23:24,02:04,게임 리그 오브 레전드 플레이,여가,게임,,,,
15.05.2024,Wed,23:24,23:26,00:02,Duolingo 네덜란드어 (<-영어),공부,네덜란드어,,,,
15.05.2024,Wed,23:26,00:00,00:34,게임 리그 오브 레전드 플레이,여가,게임,,,,
16.05.2024,Thu,00:00,00:24,00:24,게임 리그 오브 레전드 플레이,여가,게임,,,,
16.05.2024,Thu,00:24,01:02,00:38,유튜브 랄로 시청 등,,,,,,
16.05.2024,Thu,01:02,01:20,00:18,유튜브 랄로 시청 등,,,,,,
16.05.2024,Thu,01:20,10:18,08:58,잠,잠,잠,,,,
16.05.2024,Thu,10:18,10:22,00:04,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
16.05.2024,Thu,10:22,10:25,00:03,인터넷 커뮤니티 디시인사이드 실시간 베스트 갤러리 서핑,,,,,,
16.05.2024,Thu,10:25,10:28,00:03,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
16.05.2024,Thu,10:28,10:37,00:09,인터넷 커뮤니티 디시인사이드 실시간 베스트 갤러리 서핑,,,,,,
16.05.2024,Thu,10:37,10:40,00:03,화장실,생활,화장실,,,,
16.05.2024,Thu,10:40,10:44,00:04,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
16.05.2024,Thu,10:44,10:45,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
16.05.2024,Thu,10:45,10:49,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
16.05.2024,Thu,10:49,11:05,00:16,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
16.05.2024,Thu,11:05,11:06,00:01,"물품 배송 확인, 교환 반품 처리",,,,,,
16.05.2024,Thu,11:06,11:07,00:01,기타 TV 시청,,,,,,
16.05.2024,Thu,11:07,12:00,00:53,만화 명탐정 코난 시청 등,,,,,문기옥,
16.05.2024,Thu,12:00,12:33,00:33,화장실,생활,화장실,,,,
16.05.2024,Thu,12:33,13:02,00:29,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
16.05.2024,Thu,13:02,13:16,00:14,만화 명탐정 코난 시청 등,,,,,문기옥,
16.05.2024,Thu,13:16,13:24,00:08,"손톱, 발톱, 굳은살 깎기",생활,"손톱, 발톱 깎기",,,,
16.05.2024,Thu,13:24,14:29,01:05,만화 명탐정 코난 시청 등,,,,,문기옥,
Total,2,,,38:29,,,,,,,
