Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
27.05.2024,Mon,00:00,00:11,00:11,스타 뒷담화 시청,여가,온게임넷 스타 뒷담화,,,,
27.05.2024,Mon,00:11,00:14,00:03,스타 뒷담화 시청,여가,온게임넷 스타 뒷담화,,,,
27.05.2024,Mon,00:14,00:30,00:16,스타 뒷담화 시청,여가,온게임넷 스타 뒷담화,,,,
27.05.2024,Mon,00:30,08:45,08:15,잠,잠,잠,,,,
27.05.2024,Mon,08:45,09:20,00:35,유튜브 랄로 시청 등,,,,,,
27.05.2024,Mon,09:20,11:01,01:41,잠,잠,잠,,,,
27.05.2024,Mon,11:01,12:00,00:59,유튜브 랄로 시청 등,,,,,,
27.05.2024,Mon,12:00,12:01,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
27.05.2024,Mon,12:01,12:05,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
27.05.2024,Mon,12:05,12:15,00:10,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
27.05.2024,Mon,12:15,12:35,00:20,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
27.05.2024,Mon,12:35,12:41,00:06,유튜브 캐니언 관련 영상 시청 등,,,,,,
27.05.2024,Mon,12:41,13:31,00:50,게임 리그 오브 레전드 플레이,여가,게임,,,,
27.05.2024,Mon,13:31,13:32,00:01,화장실,생활,화장실,,,,
27.05.2024,Mon,13:32,14:36,01:04,게임 리그 오브 레전드 플레이,여가,게임,,,,
27.05.2024,Mon,14:36,14:56,00:20,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
27.05.2024,Mon,14:56,14:59,00:03,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,14:59,15:00,00:01,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,15:00,15:14,00:14,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
27.05.2024,Mon,15:14,15:22,00:08,Duolingo 힌디어 (<-영어),,,,,,
27.05.2024,Mon,15:22,15:23,00:01,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,15:23,15:42,00:19,책 정치사회학 (김윤태),,,,,,
27.05.2024,Mon,15:42,15:44,00:02,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,15:44,16:06,00:22,책 정치사회학 (김윤태),,,,,,
27.05.2024,Mon,16:06,16:09,00:03,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,16:09,16:18,00:09,책 정치사회학 (김윤태),,,,,,
27.05.2024,Mon,16:18,16:21,00:03,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,16:21,16:29,00:08,책 정치사회학 (김윤태),,,,,,
27.05.2024,Mon,16:29,16:38,00:09,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,16:38,16:39,00:01,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
27.05.2024,Mon,16:39,16:40,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
27.05.2024,Mon,16:40,16:42,00:02,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,16:42,16:43,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
27.05.2024,Mon,16:43,16:45,00:02,"이동 준비, 이동 등",생활,이동,,,,
27.05.2024,Mon,16:45,16:47,00:02,"차 마시기, 준비",,,,,,
