Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
02.06.2024,Sun,00:00,02:04,02:04,게임 리그 오브 레전드 플레이,여가,게임,,,,
02.06.2024,Sun,02:04,03:10,01:06,게임 리그 오브 레전드 플레이,여가,게임,,,,
02.06.2024,Sun,03:10,03:35,00:25,유튜브 랄로 시청 등,,,,,,
02.06.2024,Sun,03:35,04:02,00:27,유튜브 랄로 시청 등,,,,,,
02.06.2024,Sun,04:02,05:21,01:19,잠,잠,잠,,,,
02.06.2024,Sun,05:21,05:22,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
02.06.2024,Sun,05:22,05:23,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
02.06.2024,Sun,05:23,05:31,00:08,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
02.06.2024,Sun,05:31,05:50,00:19,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
02.06.2024,Sun,05:50,05:53,00:03,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,05:53,05:54,00:01,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,05:54,06:07,00:13,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,06:07,06:15,00:08,Duolingo 이탈리아어 (<-영어),공부,이탈리아어,,,,
02.06.2024,Sun,06:15,06:21,00:06,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
02.06.2024,Sun,06:21,06:30,00:09,Duolingo 아랍어 (<-영어),공부,아랍어,,,,
02.06.2024,Sun,06:30,06:39,00:09,Duolingo 스웨덴어 (<-영어),,,,,,
02.06.2024,Sun,06:39,06:41,00:02,Duolingo 네덜란드어 (<-영어),공부,네덜란드어,,,,
02.06.2024,Sun,06:41,06:43,00:02,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,06:43,08:08,01:25,"주일 1부 아침 예배, 준비",,,,,,
02.06.2024,Sun,08:08,08:11,00:03,"주일 1부 아침 예배, 준비",,,,,,
02.06.2024,Sun,08:11,08:28,00:17,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,08:28,08:31,00:03,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,08:31,08:39,00:08,"책 라캉, 바디우, 들뢰즈의 세계관 (장용순)",,,,,,
02.06.2024,Sun,08:39,08:42,00:03,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,08:42,08:52,00:10,"책 라캉, 바디우, 들뢰즈의 세계관 (장용순)",,,,,,
02.06.2024,Sun,08:52,09:05,00:13,책 지식인의 아편 (레몽 아롱; 변광배),,,,,,
02.06.2024,Sun,09:05,09:09,00:04,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,09:09,09:20,00:11,책 지식인의 아편 (레몽 아롱; 변광배),,,,,,
02.06.2024,Sun,09:20,09:24,00:04,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,09:24,09:28,00:04,책 지식인의 아편 (레몽 아롱; 변광배),,,,,,
02.06.2024,Sun,09:28,09:39,00:11,잠,잠,잠,,,,
02.06.2024,Sun,09:39,09:41,00:02,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,09:41,09:46,00:05,잠,잠,잠,,,,
02.06.2024,Sun,09:46,09:58,00:12,"이동 준비, 이동 등",생활,이동,,,,
02.06.2024,Sun,09:58,11:31,01:33,잠,잠,잠,,,,
