Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
28.06.2024,Fri,00:00,00:11,00:11,드라마 The Practice 학습,,,,,문기옥,
28.06.2024,Fri,00:11,00:26,00:15,유튜브 랄로 시청 등,,,,,,
28.06.2024,Fri,00:26,00:46,00:20,유튜브 랄로 시청 등,,,,,,
28.06.2024,Fri,00:46,07:37,06:51,잠,잠,잠,,,,
28.06.2024,Fri,07:37,08:30,00:53,유튜브 랄로 시청 등,,,,,,
28.06.2024,Fri,08:30,09:53,01:23,잠,잠,잠,,,,
28.06.2024,Fri,09:53,11:23,01:30,유튜브 랄로 시청 등,,,,,,
28.06.2024,Fri,11:23,11:27,00:04,화장실,생활,화장실,,,,
28.06.2024,Fri,11:27,11:28,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
28.06.2024,Fri,11:28,11:29,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
28.06.2024,Fri,11:29,11:36,00:07,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
28.06.2024,Fri,11:36,11:52,00:16,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
28.06.2024,Fri,11:52,12:01,00:09,게임 리그 오브 레전드 플레이,여가,게임,,,,
28.06.2024,Fri,12:01,12:09,00:08,양치질,생활,양치질,,,,
28.06.2024,Fri,12:09,12:23,00:14,게임 리그 오브 레전드 플레이,여가,게임,,,,
28.06.2024,Fri,12:23,13:01,00:38,유튜브 랄로 시청 등,,,,,,
28.06.2024,Fri,13:01,20:27,07:26,게임 리그 오브 레전드 플레이,여가,게임,,,,
28.06.2024,Fri,20:27,20:30,00:03,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
28.06.2024,Fri,20:30,21:18,00:48,게임 리그 오브 레전드 LCK 시청,,,,,,
28.06.2024,Fri,21:18,21:38,00:20,게임 리그 오브 레전드 lpl 시청,,,,,,
28.06.2024,Fri,21:38,22:00,00:22,드라마 The Practice 학습,,,,,문기옥,
28.06.2024,Fri,22:00,22:02,00:02,"물품 배송 확인, 교환 반품 처리",,,,,,
28.06.2024,Fri,22:02,22:04,00:02,화장실,생활,화장실,,,,
28.06.2024,Fri,22:04,22:23,00:19,간식,식사,간식,,,,
28.06.2024,Fri,22:23,22:29,00:06,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
28.06.2024,Fri,22:29,22:34,00:05,인터넷 커뮤니티 고파스 서핑,,,,,,
28.06.2024,Fri,22:34,00:00,01:26,게임 리그 오브 레전드 플레이,여가,게임,,,,
29.06.2024,Sat,00:00,00:23,00:23,게임 리그 오브 레전드 플레이,여가,게임,,,,
29.06.2024,Sat,00:23,00:29,00:06,인터넷 커뮤니티 고파스 서핑,,,,,,
29.06.2024,Sat,00:29,00:48,00:19,유튜브 랄로 시청 등,,,,,,
29.06.2024,Sat,00:48,01:13,00:25,유튜브 랄로 시청 등,,,,,,
29.06.2024,Sat,01:13,01:35,00:22,유튜브 랄로 시청 등,,,,,,
29.06.2024,Sat,01:35,04:58,03:23,잠,잠,잠,,,,
29.06.2024,Sat,04:58,04:59,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
29.06.2024,Sat,04:59,05:01,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
29.06.2024,Sat,05:01,05:14,00:13,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
29.06.2024,Sat,05:14,05:40,00:26,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
29.06.2024,Sat,05:40,05:44,00:04,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
29.06.2024,Sat,05:44,06:05,00:21,화장실,생활,화장실,,,,
29.06.2024,Sat,06:05,06:28,00:23,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
29.06.2024,Sat,06:28,06:33,00:05,"이동 준비, 이동 등",생활,이동,,,,
29.06.2024,Sat,06:33,06:46,00:13,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
29.06.2024,Sat,06:46,06:49,00:03,"이동 준비, 이동 등",생활,이동,,,,
29.06.2024,Sat,06:49,06:50,00:01,"이동 준비, 이동 등",생활,이동,,,,
29.06.2024,Sat,06:50,06:53,00:03,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
29.06.2024,Sat,06:53,06:56,00:03,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
29.06.2024,Sat,06:56,06:58,00:02,Duolingo 힌디어 (<-영어),,,,,,
29.06.2024,Sat,06:58,07:02,00:04,Duolingo 아랍어 (<-영어),공부,아랍어,,,,
29.06.2024,Sat,07:02,07:06,00:04,Duolingo 독일어 (<-영어),공부,독일어,,,,
29.06.2024,Sat,07:06,07:08,00:02,Duolingo 네덜란드어 (<-영어),공부,네덜란드어,,,,
29.06.2024,Sat,07:08,07:10,00:02,Duolingo 스웨덴어 (<-영어),,,,,,
29.06.2024,Sat,07:10,07:29,00:19,"책 Emotions Revealed <표정의 심리학> (Paul Ekman;허우성,허주형)",,,,,,
29.06.2024,Sat,07:29,07:30,00:01,"이동 준비, 이동 등",생활,이동,,,,
Total,2,,,31:30,,,,,,,
