Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
14.06.2024,Fri,00:00,01:01,01:01,게임 리그 오브 레전드 플레이,여가,게임,,,,
14.06.2024,Fri,01:01,01:24,00:23,유튜브 랄로 시청 등,,,,,,
14.06.2024,Fri,01:24,10:53,09:29,잠,잠,잠,,,,
14.06.2024,Fri,10:53,10:55,00:02,화장실,생활,화장실,,,,
14.06.2024,Fri,10:55,10:57,00:02,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
14.06.2024,Fri,10:57,11:01,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
14.06.2024,Fri,11:01,11:30,00:29,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.06.2024,Fri,11:30,17:01,05:31,게임 리그 오브 레전드 플레이,여가,게임,,,,
14.06.2024,Fri,17:01,17:46,00:45,게임 리그 오브 레전드 LCK 시청,,,,,,
14.06.2024,Fri,17:46,17:48,00:02,화장실,생활,화장실,,,,
14.06.2024,Fri,17:48,17:50,00:02,"물품 배송 확인, 교환 반품 처리",,,,,,
14.06.2024,Fri,17:50,17:54,00:04,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
14.06.2024,Fri,17:54,19:13,01:19,게임 리그 오브 레전드 LCK 시청,,,,,,
14.06.2024,Fri,19:13,19:28,00:15,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
14.06.2024,Fri,19:28,19:57,00:29,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.06.2024,Fri,19:57,20:08,00:11,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
14.06.2024,Fri,20:08,20:29,00:21,게임 리그 오브 레전드 LCK 시청,,,,,,
14.06.2024,Fri,20:29,20:37,00:08,Duolingo 힌디어 (<-영어),,,,,,
14.06.2024,Fri,20:37,20:38,00:01,게임 리그 오브 레전드 LCK 시청,,,,,,
14.06.2024,Fri,20:38,20:41,00:03,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
14.06.2024,Fri,20:41,21:25,00:44,게임 리그 오브 레전드 LCK 시청,,,,,,
14.06.2024,Fri,21:25,21:28,00:03,화장실,생활,화장실,,,,
14.06.2024,Fri,21:28,23:21,01:53,게임 리그 오브 레전드 플레이,여가,게임,,,,
14.06.2024,Fri,23:21,23:23,00:02,화장실,생활,화장실,,,,
14.06.2024,Fri,23:23,23:33,00:10,양치질,생활,양치질,,,,
14.06.2024,Fri,23:33,23:39,00:06,치과 치아 치실,,,,,문기옥,
14.06.2024,Fri,23:39,23:55,00:16,화장실,생활,화장실,,,,
14.06.2024,Fri,23:55,23:58,00:03,Duolingo 이탈리아어 (<-영어),공부,이탈리아어,,,,
14.06.2024,Fri,23:58,00:00,00:02,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
15.06.2024,Sat,00:00,00:01,00:01,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
15.06.2024,Sat,00:01,00:07,00:06,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
15.06.2024,Sat,00:07,00:11,00:04,Duolingo 아랍어 (<-영어),공부,아랍어,,,,
15.06.2024,Sat,00:11,00:13,00:02,Duolingo 네덜란드어 (<-영어),공부,네덜란드어,,,,
15.06.2024,Sat,00:13,00:16,00:03,Duolingo 스웨덴어 (<-영어),,,,,,
15.06.2024,Sat,00:16,00:18,00:02,Duolingo 독일어 (<-영어),공부,독일어,,,,
15.06.2024,Sat,00:18,03:33,03:15,드라마 The Practice 학습,,,,,문기옥,
15.06.2024,Sat,03:33,11:58,08:25,잠,잠,잠,,,,
15.06.2024,Sat,11:58,12:00,00:02,화장실,생활,화장실,,,,
15.06.2024,Sat,12:00,12:01,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
15.06.2024,Sat,12:01,12:03,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
Total,2,,,36:03,,,,,,,
