Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
23.05.2024,Thu,00:00,00:14,00:14,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,00:14,00:29,00:15,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,00:29,00:34,00:05,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,00:34,00:55,00:21,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,00:55,05:49,04:54,잠,잠,잠,,,,
23.05.2024,Thu,05:49,06:09,00:20,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
23.05.2024,Thu,06:09,06:11,00:02,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
23.05.2024,Thu,06:11,06:13,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
23.05.2024,Thu,06:13,06:29,00:16,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
23.05.2024,Thu,06:29,06:30,00:01,게임 리그 오브 레전드 플레이,여가,게임,,,,
23.05.2024,Thu,06:30,06:38,00:08,게임 리그 오브 레전드 플레이,여가,게임,,,,
23.05.2024,Thu,06:38,06:42,00:04,게임 리그 오브 레전드 플레이,여가,게임,,,,
23.05.2024,Thu,06:42,07:32,00:50,게임 메이플 스토리 월드 로나월드 플레이,,,,,,
23.05.2024,Thu,07:32,07:52,00:20,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,07:52,12:28,04:36,잠,잠,잠,,,,
23.05.2024,Thu,12:28,12:50,00:22,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,12:50,12:52,00:02,화장실,생활,화장실,,,,
23.05.2024,Thu,12:52,12:56,00:04,기타 TV 시청,,,,,,
23.05.2024,Thu,12:56,13:11,00:15,스타리그 시청,여가,스타크래프트,,,,
23.05.2024,Thu,13:11,13:15,00:04,만화 명탐정 코난 시청 등,,,,,문기옥,
23.05.2024,Thu,13:15,13:18,00:03,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
23.05.2024,Thu,13:18,13:41,00:23,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
23.05.2024,Thu,13:41,13:46,00:05,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
23.05.2024,Thu,13:46,14:08,00:22,화장실,생활,화장실,,,,
23.05.2024,Thu,14:08,14:19,00:11,양치질,생활,양치질,,,,
23.05.2024,Thu,14:19,15:24,01:05,만화 명탐정 코난 시청 등,,,,,문기옥,
23.05.2024,Thu,15:24,18:13,02:49,게임 메이플 스토리 플레이,,,,,문기옥,
23.05.2024,Thu,18:13,21:46,03:33,게임 리그 오브 레전드 플레이,여가,게임,,,,
23.05.2024,Thu,21:46,21:49,00:03,Duolingo 이탈리아어 (<-영어),공부,이탈리아어,,,,
23.05.2024,Thu,21:49,21:51,00:02,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
23.05.2024,Thu,21:51,21:53,00:02,Duolingo 스웨덴어 (<-영어),,,,,,
23.05.2024,Thu,21:53,21:56,00:03,Duolingo 네덜란드어 (<-영어),공부,네덜란드어,,,,
23.05.2024,Thu,21:56,21:57,00:01,Duolingo 독일어 (<-영어),공부,독일어,,,,
23.05.2024,Thu,21:57,22:10,00:13,Duolingo 아랍어 (<-영어),공부,아랍어,,,,
23.05.2024,Thu,22:10,22:24,00:14,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
23.05.2024,Thu,22:24,22:39,00:15,Duolingo 힌디어 (<-영어),,,,,,
23.05.2024,Thu,22:39,22:46,00:07,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
23.05.2024,Thu,22:46,22:53,00:07,젠지 유튜브 시청 등,,,,,,
23.05.2024,Thu,22:53,22:57,00:04,유튜브 클라우드 템플러 시청 등,,,,,,
23.05.2024,Thu,22:57,23:09,00:12,유튜브 랄로 시청 등,,,,,,
23.05.2024,Thu,23:09,00:00,00:51,게임 리그 오브 레전드 플레이,여가,게임,,,,
24.05.2024,Fri,00:00,00:08,00:08,게임 리그 오브 레전드 플레이,여가,게임,,,,
24.05.2024,Fri,00:08,00:18,00:10,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,00:18,00:24,00:06,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,00:24,00:28,00:04,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,00:28,03:04,02:36,게임 롤토체스,,,,,문기옥,
24.05.2024,Fri,03:04,03:07,00:03,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,03:07,03:27,00:20,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,03:27,03:33,00:06,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,03:33,03:50,00:17,유튜브 랄로 시청 등,,,,,,
24.05.2024,Fri,03:50,11:05,07:15,잠,잠,잠,,,,
24.05.2024,Fri,11:05,11:08,00:03,화장실,생활,화장실,,,,
24.05.2024,Fri,11:08,11:09,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
24.05.2024,Fri,11:09,11:17,00:08,"요구르트 준비, 먹기, 처리 등",,,,,,
24.05.2024,Fri,11:17,11:35,00:18,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
Total,2,,,35:35,,,,,,,
