Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
04.05.2024,Sat,00:00,02:17,02:17,게임 리그 오브 레전드 플레이,여가,게임,,,,
04.05.2024,Sat,02:17,03:08,00:51,유튜브 랄로 시청 등,,,,,,
04.05.2024,Sat,03:08,09:37,06:29,잠,잠,잠,,,,
04.05.2024,Sat,09:37,10:29,00:52,유튜브 랄로 시청 등,,,,,,
04.05.2024,Sat,10:29,18:25,07:56,게임 리그 오브 레전드 플레이,여가,게임,,,,
04.05.2024,Sat,18:25,18:27,00:02,화장실,생활,화장실,,,,
04.05.2024,Sat,18:27,18:28,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
04.05.2024,Sat,18:28,18:32,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
04.05.2024,Sat,18:32,18:47,00:15,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
04.05.2024,Sat,18:47,18:49,00:02,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
04.05.2024,Sat,18:49,18:59,00:10,간식,식사,간식,,,,
04.05.2024,Sat,18:59,21:50,02:51,게임 리그 오브 레전드 플레이,여가,게임,,,,
04.05.2024,Sat,21:50,21:52,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
04.05.2024,Sat,21:52,21:54,00:02,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
04.05.2024,Sat,21:54,21:55,00:01,"이불 깔기, 이불 커버 베갯닛 씌우기, 잘 준비, 알람 설정",수면,수면 준비,,,,
04.05.2024,Sat,21:55,21:58,00:03,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
04.05.2024,Sat,21:58,22:35,00:37,유튜브 랄로 시청 등,,,,,,
04.05.2024,Sat,22:35,00:00,01:25,잠,잠,잠,,,,
05.05.2024,Sun,00:00,04:58,04:58,잠,잠,잠,,,,
05.05.2024,Sun,04:58,04:59,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
05.05.2024,Sun,04:59,05:01,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
05.05.2024,Sun,05:01,05:07,00:06,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
05.05.2024,Sun,05:07,05:27,00:20,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
05.05.2024,Sun,05:27,05:51,00:24,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
05.05.2024,Sun,05:51,05:54,00:03,"이동 준비, 이동 등",생활,이동,,,,
05.05.2024,Sun,05:54,05:55,00:01,"이동 준비, 이동 등",생활,이동,,,,
05.05.2024,Sun,05:55,05:55,00:00,"이동 준비, 이동 등",생활,이동,,,,
Total,2,,,29:55,,,,,,,
