Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
03.05.2024,Fri,00:00,05:03,05:03,잠,잠,잠,,,,
03.05.2024,Fri,05:03,05:05,00:02,화장실,생활,화장실,,,,
03.05.2024,Fri,05:05,05:07,00:02,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
03.05.2024,Fri,05:07,05:10,00:03,"요구르트 준비, 먹기, 처리 등",,,,,,
03.05.2024,Fri,05:10,05:28,00:18,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
03.05.2024,Fri,05:28,05:33,00:05,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
03.05.2024,Fri,05:33,05:39,00:06,간식,식사,간식,,,,
03.05.2024,Fri,05:39,07:39,02:00,유튜브 랄로 시청 등,,,,,,
03.05.2024,Fri,07:39,11:39,04:00,잠,잠,잠,,,,
03.05.2024,Fri,11:39,11:44,00:05,"국내 언론 기사, 지면 인터뷰, 연재물 등 확인",정보,언론,,,,
03.05.2024,Fri,11:44,13:25,01:41,유튜브 랄로 시청 등,,,,,,
03.05.2024,Fri,13:25,13:44,00:19,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
03.05.2024,Fri,13:44,14:06,00:22,유튜브 랄로 시청 등,,,,,,
03.05.2024,Fri,14:06,14:20,00:14,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
03.05.2024,Fri,14:20,14:45,00:25,만화 명탐정 코난 시청 등,,,,,문기옥,
03.05.2024,Fri,14:45,14:49,00:04,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
03.05.2024,Fri,14:49,18:15,03:26,게임 리그 오브 레전드 플레이,여가,게임,,,,
03.05.2024,Fri,18:15,18:17,00:02,화장실,생활,화장실,,,,
03.05.2024,Fri,18:17,22:02,03:45,게임 리그 오브 레전드 플레이,여가,게임,,,,
03.05.2024,Fri,22:02,22:34,00:32,게임 리그 오브 레전드 플레이,여가,게임,,,,
03.05.2024,Fri,22:34,22:35,00:01,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
03.05.2024,Fri,22:35,00:00,01:25,게임 리그 오브 레전드 플레이,여가,게임,,,,
04.05.2024,Sat,00:00,02:17,02:17,게임 리그 오브 레전드 플레이,여가,게임,,,,
04.05.2024,Sat,02:17,03:08,00:51,유튜브 랄로 시청 등,,,,,,
04.05.2024,Sat,03:08,09:37,06:29,잠,잠,잠,,,,
04.05.2024,Sat,09:37,10:29,00:52,유튜브 랄로 시청 등,,,,,,
04.05.2024,Sat,10:29,18:25,07:56,게임 리그 오브 레전드 플레이,여가,게임,,,,
04.05.2024,Sat,18:25,18:27,00:02,화장실,생활,화장실,,,,
04.05.2024,Sat,18:27,18:28,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
04.05.2024,Sat,18:28,18:32,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
04.05.2024,Sat,18:32,18:47,00:15,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
04.05.2024,Sat,18:47,18:49,00:02,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
04.05.2024,Sat,18:49,18:59,00:10,간식,식사,간식,,,,
04.05.2024,Sat,18:59,21:08,02:09,게임 리그 오브 레전드 플레이,여가,게임,,,,
Total,2,,,45:08,,,,,,,
