Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
02.05.2024,Thu,00:00,05:27,05:27,잠,잠,잠,,,,
02.05.2024,Thu,05:27,05:29,00:02,화장실,생활,화장실,,,,
02.05.2024,Thu,05:29,05:30,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
02.05.2024,Thu,05:30,05:34,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
02.05.2024,Thu,05:34,05:49,00:15,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
02.05.2024,Thu,05:49,05:55,00:06,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
02.05.2024,Thu,05:55,06:18,00:23,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
02.05.2024,Thu,06:18,06:20,00:02,면도,,,,,,
02.05.2024,Thu,06:20,06:22,00:02,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,06:22,06:31,00:09,화장실,생활,화장실,,,,
02.05.2024,Thu,06:31,06:36,00:05,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,06:36,06:52,00:16,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,06:52,07:05,00:13,책 처음 읽는 프랑스 현대철학 (철학아카데미),,,,,,
02.05.2024,Thu,07:05,07:06,00:01,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,07:06,07:27,00:21,책 처음 읽는 프랑스 현대철학 (철학아카데미),,,,,,
02.05.2024,Thu,07:27,07:30,00:03,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,07:30,07:40,00:10,책 처음 읽는 프랑스 현대철학 (철학아카데미),,,,,,
02.05.2024,Thu,07:40,07:43,00:03,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,07:43,07:51,00:08,책 처음 읽는 프랑스 현대철학 (철학아카데미),,,,,,
02.05.2024,Thu,07:51,07:53,00:02,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,07:53,07:59,00:06,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
02.05.2024,Thu,07:59,08:00,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
02.05.2024,Thu,08:00,08:01,00:01,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,08:01,08:03,00:02,"차 마시기, 준비",,,,,,
02.05.2024,Thu,08:03,08:05,00:02,"사물함 관련 행정, 정리 등",,,,,,
02.05.2024,Thu,08:05,08:07,00:02,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,08:07,08:20,00:13,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
02.05.2024,Thu,08:20,08:51,00:31,"전력전자공학 (영강) (이기복 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
02.05.2024,Thu,08:51,11:18,02:27,잠,잠,잠,,,,
02.05.2024,Thu,11:18,11:37,00:19,"전력전자공학 (영강) (이기복 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
02.05.2024,Thu,11:37,11:44,00:07,"이동 준비, 이동 등",생활,이동,,,,
02.05.2024,Thu,11:44,11:46,00:02,화장실,생활,화장실,,,,
02.05.2024,Thu,11:46,12:00,00:14,"전력전자공학 (영강) (이기복 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
02.05.2024,Thu,12:00,13:14,01:14,"전력전자공학 (영강) (이기복 교수님) 수강, 수험, 대기 등",,,,,,
02.05.2024,Thu,13:14,13:24,00:10,"이동 준비, 이동 등",생활,이동,,,,
