Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
31.05.2024,Fri,00:00,00:48,00:48,게임 리그 오브 레전드 플레이,여가,게임,,,,
31.05.2024,Fri,00:48,01:18,00:30,유튜브 랄로 시청 등,,,,,,
31.05.2024,Fri,01:18,03:03,01:45,게임 리그 오브 레전드 플레이,여가,게임,,,,
31.05.2024,Fri,03:03,03:06,00:03,인터넷 커뮤니티 고파스 서핑,,,,,,
31.05.2024,Fri,03:06,03:26,00:20,유튜브 랄로 시청 등,,,,,,
31.05.2024,Fri,03:26,11:35,08:09,잠,잠,잠,,,,
31.05.2024,Fri,11:35,11:44,00:09,"주식, 외화, 코인 가상 화폐 등 투자 업무",,,,,문기옥,
31.05.2024,Fri,11:44,11:47,00:03,화장실,생활,화장실,,,,
31.05.2024,Fri,11:47,11:49,00:02,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
31.05.2024,Fri,11:49,11:52,00:03,"요구르트 준비, 먹기, 처리 등",,,,,,
31.05.2024,Fri,11:52,12:10,00:18,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
31.05.2024,Fri,12:10,12:24,00:14,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
31.05.2024,Fri,12:24,12:26,00:02,인터넷 커뮤니티 고파스 서핑,,,,,,
31.05.2024,Fri,12:26,12:27,00:01,기타 TV 시청,,,,,,
31.05.2024,Fri,12:27,13:07,00:40,만화 명탐정 코난 시청 등,,,,,문기옥,
31.05.2024,Fri,13:07,13:08,00:01,화장실,생활,화장실,,,,
31.05.2024,Fri,13:08,13:50,00:42,게임 리그 오브 레전드 플레이,여가,게임,,,,
31.05.2024,Fri,13:50,13:52,00:02,화장실,생활,화장실,,,,
31.05.2024,Fri,13:52,16:13,02:21,게임 리그 오브 레전드 플레이,여가,게임,,,,
31.05.2024,Fri,16:13,16:15,00:02,화장실,생활,화장실,,,,
31.05.2024,Fri,16:15,17:29,01:14,게임 리그 오브 레전드 플레이,여가,게임,,,,
31.05.2024,Fri,17:29,17:31,00:02,화장실,생활,화장실,,,,
31.05.2024,Fri,17:31,23:05,05:34,게임 리그 오브 레전드 플레이,여가,게임,,,,
31.05.2024,Fri,23:05,23:07,00:02,Duolingo 네덜란드어 (<-영어),공부,네덜란드어,,,,
31.05.2024,Fri,23:07,00:00,00:53,게임 리그 오브 레전드 플레이,여가,게임,,,,
01.06.2024,Sat,00:00,00:23,00:23,유튜브 랄로 시청 등,,,,,,
01.06.2024,Sat,00:23,00:40,00:17,유튜브 랄로 시청 등,,,,,,
01.06.2024,Sat,00:40,01:00,00:20,유튜브 랄로 시청 등,,,,,,
01.06.2024,Sat,01:00,04:55,03:55,잠,잠,잠,,,,
01.06.2024,Sat,04:55,04:58,00:03,화장실,생활,화장실,,,,
01.06.2024,Sat,04:58,04:59,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
01.06.2024,Sat,04:59,05:00,00:01,"요구르트 준비, 먹기, 처리 등",,,,,,
01.06.2024,Sat,05:00,05:03,00:03,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
01.06.2024,Sat,05:03,05:05,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
01.06.2024,Sat,05:05,05:09,00:04,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
Total,2,,,29:09,,,,,,,
