Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
24.04.2024,수,00:00,00:22,00:22,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
24.04.2024,수,00:22,00:34,00:12,유튜브 랄로 시청 등,,,,,,
24.04.2024,수,00:34,05:15,04:41,잠,잠,잠,,,,
24.04.2024,수,05:15,05:20,00:05,화장실,생활,화장실,,,,
24.04.2024,수,05:20,06:26,01:06,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
24.04.2024,수,06:26,07:57,01:31,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
24.04.2024,수,07:57,08:02,00:05,화장실,생활,화장실,,,,
24.04.2024,수,08:02,08:05,00:03,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
24.04.2024,수,08:05,08:19,00:14,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,08:19,08:21,00:02,"사물함 관련 행정, 정리 등",,,,,,
24.04.2024,수,08:21,08:25,00:04,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,08:25,08:36,00:11,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
24.04.2024,수,08:36,10:18,01:42,"반도체공학I (김규태 교수님) 수강, 수험, 대기 등",,,,,,
24.04.2024,수,10:18,10:25,00:07,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,10:25,10:27,00:02,"사물함 관련 행정, 정리 등",,,,,,
24.04.2024,수,10:27,10:43,00:16,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,10:43,10:44,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
24.04.2024,수,10:44,10:54,00:10,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,10:54,11:00,00:06,책 박시백 조선왕조실록,,,,,,
24.04.2024,수,11:00,11:10,00:10,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,11:10,11:12,00:02,책 박시백 조선왕조실록,,,,,,
24.04.2024,수,11:12,11:23,00:11,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,11:23,11:29,00:06,"비일상품 구매, 탐색, 행정 처리",,,,,,
24.04.2024,수,11:29,11:46,00:17,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,11:46,11:54,00:08,책 박시백 조선왕조실록,,,,,,
24.04.2024,수,11:54,12:35,00:41,책 박시백 조선왕조실록,,,,,,
24.04.2024,수,12:35,12:38,00:03,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,12:38,12:47,00:09,책 박시백 조선왕조실록,,,,,,
24.04.2024,수,12:47,13:03,00:16,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,13:03,13:10,00:07,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,13:10,13:12,00:02,"은행, 간편 결제 업무, 조회, 대기",행정,금융,,,,
24.04.2024,수,13:12,13:23,00:11,"이동 준비, 이동 등",생활,이동,,,,
24.04.2024,수,13:23,13:26,00:03,물건 씻기 닦기,생활,"물품 씻기, 닦기",,,,
24.04.2024,수,13:26,14:16,00:50,인터넷 커뮤니티 고파스 서핑,,,,,,
24.04.2024,수,14:16,14:41,00:25,화장실,생활,화장실,,,,
24.04.2024,수,14:41,15:12,00:31,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
24.04.2024,수,15:12,15:14,00:02,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
24.04.2024,수,15:14,15:18,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
24.04.2024,수,15:18,15:33,00:15,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
24.04.2024,수,15:33,15:36,00:03,간식,식사,간식,,,,
24.04.2024,수,15:36,15:37,00:01,기타 TV 시청,,,,,,
24.04.2024,수,15:37,15:42,00:05,만화 명탐정 코난 시청 등,,,,,문기옥,
24.04.2024,수,15:42,15:46,00:04,"로션, 바셀린, 연고 등 바르기",,,,,문기옥,
24.04.2024,수,15:46,16:43,00:57,만화 명탐정 코난 시청 등,,,,,문기옥,
24.04.2024,수,16:43,16:53,00:10,인터넷 커뮤니티 고파스 서핑,,,,,,
24.04.2024,수,16:53,17:17,00:24,유튜브 랄로 시청 등,,,,,,
24.04.2024,수,17:17,19:34,02:17,잠,잠,잠,,,,
24.04.2024,수,19:34,19:35,00:01,인터넷 커뮤니티 고파스 서핑,,,,,,
24.04.2024,수,19:35,19:44,00:09,인터넷 커뮤니티 리그 오브 레전드 갤러리 서핑,,,,,,
24.04.2024,수,19:44,20:05,00:21,인터넷 커뮤니티 디시인사이드 실시간 베스트 갤러리 서핑,,,,,,
24.04.2024,수,20:05,20:07,00:02,인터넷 커뮤니티 고파스 서핑,,,,,,
24.04.2024,수,20:07,20:11,00:04,민방위 관련 행정 등,,,,,,
24.04.2024,수,20:11,20:23,00:12,대화,,,,,,
24.04.2024,수,20:23,20:25,00:02,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
24.04.2024,수,20:25,20:59,00:34,인터넷 커뮤니티 고파스 서핑,,,,,,
24.04.2024,수,20:59,21:01,00:02,화장실,생활,화장실,,,,
24.04.2024,수,21:01,21:03,00:02,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
24.04.2024,수,21:03,21:11,00:08,EBS 세계테마기행 시청,,,,,,
24.04.2024,수,21:11,21:16,00:05,뉴스 시청,정보,시사,,,문기옥,
24.04.2024,수,21:16,21:23,00:07,Duolingo 프랑스어 (<-영어),공부,프랑스어,,,,
24.04.2024,수,21:23,21:29,00:06,Duolingo 이탈리아어 (<-영어),공부,이탈리아어,,,,
24.04.2024,수,21:29,21:42,00:13,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
24.04.2024,수,21:42,21:50,00:08,Duolingo 독일어 (<-영어),공부,독일어,,,,
24.04.2024,수,21:50,21:51,00:01,Duolingo 힌디어 (<-영어),,,,,,
24.04.2024,수,21:51,22:11,00:20,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
24.04.2024,수,22:11,22:12,00:01,인터넷 커뮤니티 고파스 서핑,,,,,,
24.04.2024,수,22:12,22:21,00:09,스타리그 시청,여가,스타크래프트,,,,
24.04.2024,수,22:21,22:26,00:05,"이불 깔기, 이불 커버 베갯닛 씌우기, 잘 준비, 알람 설정",수면,수면 준비,,,,
24.04.2024,수,22:26,23:19,00:53,유튜브 랄로 시청 등,,,,,,
24.04.2024,수,23:19,00:00,00:41,잠,잠,잠,,,,
25.04.2024,목,00:00,07:38,07:38,잠,잠,잠,,,,
25.04.2024,목,07:38,07:45,00:07,면도,,,,,,
25.04.2024,목,07:45,07:46,00:01,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
25.04.2024,목,07:46,07:48,00:02,화장실,생활,화장실,,,,
25.04.2024,목,07:48,07:49,00:01,"수세미즙 먹기, 준비, 뒤처리 등",,,,,,
25.04.2024,목,07:49,07:53,00:04,"요구르트 준비, 먹기, 처리 등",,,,,,
25.04.2024,목,07:53,08:06,00:13,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
25.04.2024,목,08:06,08:11,00:05,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
25.04.2024,목,08:11,08:50,00:39,유튜브 랄로 시청 등,,,,,,
25.04.2024,목,08:50,10:06,01:16,잠,잠,잠,,,,
25.04.2024,목,10:06,12:17,02:11,유튜브 랄로 시청 등,,,,,,
25.04.2024,목,12:17,12:18,00:01,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
25.04.2024,목,12:18,12:20,00:02,기타 TV 시청,,,,,,
25.04.2024,목,12:20,12:22,00:02,스타리그 시청,여가,스타크래프트,,,,
25.04.2024,목,12:22,12:28,00:06,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
25.04.2024,목,12:28,12:49,00:21,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
25.04.2024,목,12:49,12:54,00:05,간식,식사,간식,,,,
25.04.2024,목,12:54,13:00,00:06,스타리그 시청,여가,스타크래프트,,,,
25.04.2024,목,13:00,13:02,00:02,간식,식사,간식,,,,
25.04.2024,목,13:02,14:00,00:58,스타리그 시청,여가,스타크래프트,,,,
25.04.2024,목,14:00,14:35,00:35,만화 명탐정 코난 시청 등,,,,,문기옥,
25.04.2024,목,14:35,14:36,00:01,화장실,생활,화장실,,,,
25.04.2024,목,14:36,14:37,00:01,만화 명탐정 코난 시청 등,,,,,문기옥,
25.04.2024,목,14:37,14:40,00:03,간식,식사,간식,,,,
25.04.2024,목,14:40,14:44,00:04,만화 명탐정 코난 시청 등,,,,,문기옥,
25.04.2024,목,14:44,14:53,00:09,인터넷 커뮤니티 고파스 서핑,,,,,,
25.04.2024,목,14:53,15:11,00:18,"은행, 간편 결제 업무, 조회, 대기",행정,금융,,,,
25.04.2024,목,15:11,15:20,00:09,"이동 준비, 이동 등",생활,이동,,,,
25.04.2024,목,15:20,15:21,00:01,"이동 준비, 이동 등",생활,이동,,,,
25.04.2024,목,15:21,15:21,00:00,"이동 준비, 이동 등",생활,이동,,,,
Total,2,,,39:21,,,,,,,
